transaction_id,timestamp,amount,merchant_id,customer_id,transaction_type,country,device_id,ip_address,merchant_category,hour_of_day,is_fraud
T0000036,2018-05-16 16:24:59,112.6,M0436,C0320,virement,RU,D3563,10.0.125.75,restaurant,16,0
T0000037,2017-05-21 10:45:04,154.06,M0236,C0861,retrait,BR,D1002,10.0.27.106,voyage,10,0
T0000038,2017-02-21 19:47:04,155.82,M0127,C0343,paiement,ES,D1240,10.0.134.72,loisir,19,0
T0000039,2021-12-21 18:13:07,116.33,M0378,C0898,paiement,CN,D1183,10.0.251.149,voyage,18,0
T0000040,2017-10-15 17:49:47,89.15,M0148,C0182,retrait,ES,D1167,10.0.188.179,voyage,17,0
T0000041,2019-01-12 21:03:30,150.56,M0236,C0648,remboursement,DE,D2771,10.0.161.40,technologie,21,0
T0000042,2020-09-02 10:09:30,102.17,M0147,C0383,retrait,NG,D2947,10.0.137.90,restaurant,10,0
T0000043,2021-07-04 01:20:11,157.9,M0037,C0284,paiement,US,D0277,10.0.63.168,mode,1,0
T0000044,2023-01-05 22:32:58,32.94,M0189,C0634,paiement,DE,D1375,10.0.142.171,voyage,22,0
T0000045,2020-11-17 14:19:53,52.08,M0130,C0202,remboursement,NG,D2018,10.0.193.225,banque,14,0
T0000046,2019-01-17 11:55:07,141.03,M0090,C0576,remboursement,ES,D0356,10.0.78.199,banque,11,0
T0000047,2021-06-08 06:01:47,27.13,M0326,C0822,prélèvement,UK,D2122,10.0.249.101,commerce,6,0
T0000048,2023-10-02 16:54:57,1491.05,M0127,C0829,virement,BR,D2415,10.0.215.179,voyage,16,1
T0000049,2021-09-06 04:36:11,67.89,M0070,C0555,prélèvement,DE,D2155,10.0.139.103,restaurant,4,0
T0000050,2024-03-08 15:36:16,48.78,M0460,C0161,prélèvement,CN,D0621,10.0.164.64,mode,15,0
T0000051,2023-10-15 23:47:11,91.02,M0371,C0842,dépôt,IT,D0173,10.0.62.24,loisir,23,0
T0000052,2018-12-24 16:57:55,16.27,M0204,C0135,remboursement,BR,D2011,10.0.178.62,loisir,16,0
T0000053,2018-12-14 02:05:17,201.5,M0344,C0099,prélèvement,BR,D1317,10.0.235.144,voyage,2,1
T0000054,2024-11-08 17:22:13,187.96,M0262,C0475,retrait,UK,D3592,10.0.16.62,voyage,17,0
T0000055,2017-09-26 23:01:17,296.42,M0194,C0529,remboursement,UK,D3809,10.0.152.105,mode,23,0
T0000056,2023-09-28 13:04:16,751.43,M0086,C0826,retrait,BR,D0150,10.0.32.52,technologie,13,0
T0000057,2022-11-08 13:11:19,101.11,M0193,C0352,prélèvement,US,D1981,10.0.119.224,restaurant,13,0
T0000058,2020-05-09 23:23:31,106.16,M0375,C0349,retrait,DE,D0904,10.0.226.55,mode,23,0
T0000059,2020-07-24 09:13:30,5.57,M0022,C0397,prélèvement,NG,D1408,10.0.69.9,technologie,9,1
T0000060,2023-11-26 21:07:35,55.6,M0095,C0557,retrait,IT,D1660,10.0.34.202,banque,21,0
T0000061,2020-06-07 23:34:05,14.96,M0180,C0432,remboursement,CN,D0546,10.0.190.113,mode,23,0
T0000062,2021-07-12 02:15:01,26.02,M0177,C0252,paiement,UK,D2193,10.0.98.104,restaurant,2,0
T0000063,2017-07-01 00:54:07,274.49,M0376,C0687,retrait,US,D1774,10.0.33.71,santé,0,0
T0000064,2021-12-19 10:37:35,52.13,M0457,C0266,dépôt,BR,D3537,10.0.9.136,loisir,10,0
T0000065,2018-11-09 00:52:38,33.89,M0196,C0652,retrait,NG,D2132,10.0.54.99,banque,0,1
T0000066,2017-03-03 19:36:36,172.76,M0445,C0943,paiement,JP,D3278,10.0.130.41,banque,19,0
T0000067,2023-09-14 23:38:22,79.09,M0189,C0145,retrait,CN,D2485,10.0.83.129,commerce,23,1
T0000068,2021-11-08 01:56:25,225.23,M0375,C0321,dépôt,NG,D1087,10.0.39.147,banque,1,0
T0000069,2023-08-09 02:16:09,9.03,M0362,C0415,paiement,UK,D2209,10.0.46.248,voyage,2,0
T0000070,2022-04-06 16:36:31,31.72,M0007,C0295,dépôt,CN,D2374,10.0.127.94,banque,16,0
T0000071,2024-10-30 13:20:50,49.65,M0384,C0854,remboursement,CN,D2634,10.0.183.11,voyage,13,0
T0000072,2020-02-09 16:08:43,35.66,M0335,C0300,virement,DE,D0336,10.0.188.98,santé,16,0
T0000073,2019-10-30 10:00:12,49.07,M0040,C0880,remboursement,NG,D3263,10.0.85.97,banque,10,0
T0000074,2021-05-28 14:40:32,2401.23,M0195,C0396,retrait,JP,D2888,10.0.97.119,mode,14,0
T0000075,2023-03-28 01:20:40,144.9,M0086,C0893,virement,JP,D3743,10.0.3.147,loisir,1,0
T0000076,2024-09-17 06:21:16,2574.7,M0033,C0524,virement,UA,D3439,10.0.229.80,commerce,6,0
T0000077,2019-08-02 13:51:41,6.1,M0078,C0701,prélèvement,JP,D2892,10.0.56.224,restaurant,13,0
T0000078,2024-02-04 23:46:28,14.11,M0195,C0454,remboursement,UK,D3451,10.0.252.223,banque,23,0
T0000079,2022-04-21 18:40:17,26.35,M0167,C0144,remboursement,US,D3424,10.0.219.80,voyage,18,0
T0000080,2023-10-31 05:29:36,84.61,M0483,C0455,dépôt,RU,D3064,10.0.192.134,commerce,5,0
T0000081,2022-09-26 07:56:46,142.21,M0353,C0307,virement,UK,D0666,10.0.87.178,restaurant,7,0
T0000082,2021-09-23 16:45:09,166.18,M0321,C0987,paiement,NG,D0787,10.0.6.71,banque,16,0
T0000083,2017-10-21 03:18:38,384.4,M0081,C0279,prélèvement,US,D0230,10.0.199.191,banque,3,1
T0000084,2021-08-29 19:54:45,21.04,M0327,C0990,virement,CN,D1148,10.0.152.7,technologie,19,1
T0000085,2017-07-01 18:35:21,128.99,M0123,C0707,remboursement,BR,D0807,10.0.136.222,restaurant,18,0
T0000086,2019-05-03 10:18:02,4.56,M0444,C0132,paiement,BR,D1385,10.0.220.64,mode,10,0
T0000087,2017-08-19 17:08:31,178.57,M0395,C0843,remboursement,DE,D2851,10.0.198.230,restaurant,17,0
T0000088,2019-11-26 16:53:22,131.79,M0190,C0765,dépôt,NG,D0391,10.0.156.81,restaurant,16,0
T0000089,2019-04-08 18:56:44,2.27,M0351,C0721,dépôt,UA,D2523,10.0.199.24,commerce,18,0
T0000090,2017-10-10 15:09:46,203.96,M0316,C0428,remboursement,UA,D3729,10.0.1.207,mode,15,0
T0000091,2020-08-05 23:21:45,2190.47,M0278,C0372,remboursement,FR,D3946,10.0.41.106,voyage,23,1
T0000092,2020-05-08 06:21:21,87.77,M0102,C0139,paiement,US,D1484,10.0.75.7,commerce,6,0
T0000093,2024-02-04 07:18:21,61.01,M0287,C0204,virement,CN,D0857,10.0.239.155,commerce,7,0
T0000094,2023-01-13 10:51:18,96.7,M0096,C0388,retrait,CN,D2696,10.0.179.166,restaurant,10,0
T0000095,2023-08-10 09:00:12,83.18,M0377,C0790,remboursement,JP,D1884,10.0.13.142,banque,9,0
T0000096,2018-08-29 16:33:16,77.46,M0102,C0235,virement,ES,D1415,10.0.242.197,loisir,16,0
T0000097,2020-10-19 05:50:26,182.83,M0306,C0255,remboursement,UK,D2879,10.0.194.65,voyage,5,0
T0000098,2022-06-21 06:44:12,233.53,M0118,C0603,dépôt,BR,D1588,10.0.193.22,commerce,6,0
T0000099,2024-09-07 20:22:04,208.2,M0249,C0603,dépôt,NG,D1906,10.0.115.46,loisir,20,0
T0000100,2018-05-08 12:31:37,31.56,M0254,C0558,retrait,US,D1357,10.0.63.61,voyage,12,0
T0000101,2021-02-26 19:31:06,26.0,M0500,C0072,prélèvement,UK,D3603,10.0.184.6,loisir,19,0
T0000102,2017-04-10 05:33:22,1.81,M0218,C0022,virement,FR,D3956,10.0.30.25,mode,5,0
T0000103,2018-02-28 11:41:44,213.7,M0209,C0606,retrait,NG,D0820,10.0.232.218,voyage,11,1
T0000104,2017-02-23 13:19:14,24.76,M0410,C0206,prélèvement,UA,D2902,10.0.234.159,banque,13,0
T0000105,2023-01-17 00:16:30,4.45,M0238,C0989,virement,JP,D2344,10.0.220.93,loisir,0,0
T0000106,2024-05-10 08:10:08,196.88,M0023,C0026,paiement,US,D2578,10.0.5.90,technologie,8,0
T0000107,2024-08-30 11:48:39,209.81,M0121,C0198,retrait,DE,D0383,10.0.226.106,restaurant,11,0
T0000108,2024-03-19 07:37:03,57.72,M0430,C0513,dépôt,JP,D2581,10.0.250.90,santé,7,0
T0000109,2024-11-27 22:12:16,33.87,M0090,C0170,retrait,JP,D1504,10.0.196.84,commerce,22,0
T0000110,2020-02-19 15:40:44,69.4,M0061,C0317,virement,IT,D0765,10.0.36.26,technologie,15,0
T0000111,2020-05-25 11:36:05,94.25,M0382,C0483,dépôt,ES,D3439,10.0.13.48,voyage,11,0
T0000112,2020-06-19 11:02:03,386.42,M0140,C0107,paiement,BR,D1578,10.0.223.157,voyage,11,0
T0000113,2020-01-20 05:17:35,104.36,M0452,C0546,virement,NG,D0074,10.0.17.5,restaurant,5,1
T0000114,2019-09-21 02:50:56,168.22,M0208,C0837,dépôt,DE,D0636,10.0.39.9,voyage,2,0
T0000115,2024-01-15 08:09:19,43.47,M0367,C0012,prélèvement,UA,D3628,10.0.76.188,banque,8,0
T0000116,2023-06-13 16:27:46,27.63,M0015,C0224,prélèvement,BR,D0086,10.0.60.188,voyage,16,1
T0000117,2017-05-24 20:06:50,45.41,M0108,C0175,retrait,NG,D2343,10.0.120.20,santé,20,0
T0000118,2019-07-25 09:27:07,312.78,M0439,C0115,retrait,CN,D0173,10.0.124.117,loisir,9,0
T0000119,2023-05-12 08:22:05,26.57,M0495,C0535,remboursement,UA,D3803,10.0.134.165,santé,8,0
T0000120,2024-09-20 01:46:56,27.84,M0454,C0100,virement,UA,D1556,10.0.127.236,banque,1,1
T0000121,2017-11-07 15:14:32,125.22,M0238,C0965,retrait,NG,D1394,10.0.186.238,mode,15,0
T0000122,2023-05-23 09:27:24,40.45,M0006,C0561,prélèvement,RU,D2644,10.0.175.203,mode,9,0
T0000123,2020-02-09 00:01:59,127.36,M0177,C0305,prélèvement,DE,D2003,10.0.154.118,commerce,0,0
T0000124,2017-07-13 00:44:56,61.82,M0008,C0397,retrait,RU,D1554,10.0.122.174,technologie,0,1
T0000125,2024-11-23 05:27:21,55.13,M0319,C0576,virement,RU,D0723,10.0.139.139,banque,5,1
T0000126,2018-07-10 15:43:27,276.55,M0060,C0145,paiement,US,D1887,10.0.102.13,technologie,15,0
T0000127,2020-12-31 09:18:42,176.03,M0280,C0734,virement,FR,D1244,10.0.72.142,technologie,9,0
T0000128,2024-01-16 14:09:25,24.08,M0168,C0946,prélèvement,JP,D1168,10.0.58.214,restaurant,14,0
T0000129,2022-04-19 13:53:07,80.81,M0020,C0108,retrait,UA,D3687,10.0.43.70,banque,13,1
T0000130,2022-03-18 19:30:04,39.2,M0123,C0984,dépôt,UK,D2431,10.0.210.203,restaurant,19,0
T0000131,2017-02-23 15:27:33,52.26,M0226,C0133,prélèvement,RU,D0985,10.0.177.144,restaurant,15,0
T0000132,2022-09-26 15:00:14,116.3,M0088,C0792,remboursement,US,D2841,10.0.190.62,commerce,15,0
T0000133,2021-10-29 21:02:04,270.65,M0446,C0156,remboursement,DE,D2937,10.0.179.233,technologie,21,0
T0000134,2024-12-14 00:28:17,8.73,M0290,C0187,virement,NG,D0698,10.0.229.72,technologie,0,1
T0000135,2022-08-08 15:39:40,0.49,M0353,C0902,remboursement,RU,D2115,10.0.225.65,loisir,15,0
T0000136,2022-09-24 20:05:51,75.48,M0081,C0457,retrait,JP,D1891,10.0.27.15,santé,20,0
T0000137,2024-01-21 17:26:52,56.87,M0374,C0391,retrait,IT,D0912,10.0.34.35,santé,17,0
T0000138,2023-04-04 16:06:09,155.75,M0003,C0064,paiement,IT,D2364,10.0.130.53,voyage,16,0
T0000139,2017-08-12 21:35:30,210.19,M0274,C0876,virement,DE,D1723,10.0.53.244,restaurant,21,0
T0000140,2022-03-25 19:32:01,196.53,M0190,C0174,remboursement,UK,D0048,10.0.218.179,santé,19,0
T0000141,2018-01-30 20:56:06,77.36,M0458,C0782,retrait,DE,D3959,10.0.49.85,santé,20,0
T0000142,2024-09-28 19:11:19,29.48,M0105,C0909,dépôt,UK,D3705,10.0.32.26,loisir,19,0
T0000143,2023-03-17 00:31:29,161.4,M0494,C0712,dépôt,FR,D0608,10.0.99.74,voyage,0,0
T0000144,2021-06-21 11:25:08,287.66,M0473,C0642,dépôt,JP,D3014,10.0.29.29,mode,11,0
T0000145,2023-07-16 07:27:45,22.19,M0154,C0322,prélèvement,CN,D2194,10.0.187.177,voyage,7,1
T0000146,2021-03-14 00:45:56,69.62,M0035,C0937,dépôt,UK,D3094,10.0.49.152,restaurant,0,0
T0000147,2021-03-01 17:16:07,14.97,M0237,C0955,retrait,US,D2352,10.0.249.82,voyage,17,0
T0000148,2017-07-25 15:00:03,38.78,M0460,C0267,retrait,US,D1160,10.0.50.66,commerce,15,0
T0000149,2017-11-29 09:14:46,197.49,M0110,C0913,retrait,UK,D1634,10.0.7.201,restaurant,9,0
T0000150,2018-10-12 21:15:28,12.87,M0232,C0134,dépôt,NG,D1346,10.0.1.210,voyage,21,0
T0000151,2023-07-07 16:13:33,13.54,M0272,C0108,prélèvement,CN,D1185,10.0.227.249,voyage,16,1
T0000152,2017-09-02 05:28:47,111.27,M0322,C0941,virement,BR,D2034,10.0.33.33,restaurant,5,1
T0000153,2018-02-25 19:13:40,126.86,M0348,C0953,virement,NG,D3532,10.0.13.125,technologie,19,1
T0000154,2022-07-03 04:52:03,111.46,M0388,C0110,remboursement,UA,D0252,10.0.127.157,technologie,4,0
T0000155,2021-07-11 10:07:13,114.02,M0066,C0475,virement,NG,D0323,10.0.215.162,technologie,10,0
T0000156,2023-12-18 13:35:48,110.81,M0418,C0285,virement,UA,D1218,10.0.85.177,santé,13,0
T0000157,2020-01-27 22:58:33,171.27,M0439,C0231,dépôt,BR,D0071,10.0.82.13,commerce,22,0
T0000158,2018-06-12 12:54:35,289.97,M0270,C0827,retrait,UA,D1650,10.0.227.214,commerce,12,0
T0000159,2023-01-11 02:26:25,442.8,M0382,C0475,remboursement,US,D0066,10.0.205.141,restaurant,2,0
T0000160,2017-06-08 03:21:05,462.0,M0267,C0232,virement,CN,D3900,10.0.74.201,loisir,3,0
T0000161,2019-10-27 06:12:37,73.84,M0082,C0868,remboursement,CN,D3318,10.0.252.34,santé,6,0
T0000162,2024-04-08 14:13:32,2484.33,M0053,C0668,prélèvement,JP,D1514,10.0.186.64,banque,14,1
T0000163,2021-04-18 12:14:59,7.7,M0120,C0476,virement,UA,D0955,10.0.21.3,commerce,12,0
T0000164,2021-05-14 08:39:32,35.48,M0173,C0963,remboursement,RU,D2648,10.0.76.46,santé,8,0
T0000165,2018-08-18 05:09:25,27.08,M0197,C0421,paiement,CN,D3718,10.0.93.157,banque,5,1
T0000166,2020-12-22 10:49:16,217.62,M0206,C0973,remboursement,DE,D3713,10.0.17.41,voyage,10,0
T0000167,2023-07-26 06:49:30,397.08,M0462,C0177,paiement,BR,D2424,10.0.210.211,commerce,6,0
T0000168,2021-05-25 16:22:48,108.54,M0111,C0263,prélèvement,RU,D0150,10.0.64.7,restaurant,16,0
T0000169,2024-08-28 19:25:59,146.85,M0105,C0577,dépôt,ES,D0413,10.0.47.142,commerce,19,0
T0000170,2018-11-16 01:42:33,82.05,M0028,C0434,prélèvement,ES,D2756,10.0.60.91,voyage,1,0
T0000171,2022-07-04 12:50:35,30.55,M0067,C0243,retrait,DE,D0006,10.0.53.225,banque,12,0
T0000172,2022-07-29 09:49:43,33.12,M0243,C0630,prélèvement,FR,D2613,10.0.68.166,banque,9,0
T0000173,2024-06-06 14:15:43,40.42,M0406,C0376,prélèvement,US,D2760,10.0.46.129,restaurant,14,0
T0000174,2021-11-01 07:24:34,26.65,M0429,C0795,dépôt,JP,D3103,10.0.209.176,restaurant,7,0
T0000175,2019-02-17 19:46:28,43.63,M0008,C0765,virement,JP,D0982,10.0.101.98,mode,19,0
T0000176,2023-10-19 11:19:41,1662.43,M0493,C0235,retrait,IT,D1871,10.0.251.16,technologie,11,1
T0000177,2023-07-27 21:13:51,113.99,M0291,C0351,paiement,DE,D1802,10.0.153.154,commerce,21,0
T0000178,2019-08-16 07:08:31,34.41,M0176,C0298,dépôt,CN,D2295,10.0.251.91,banque,7,0
T0000179,2023-10-23 09:31:58,201.08,M0157,C0357,virement,UA,D2649,10.0.61.31,voyage,9,0
T0000180,2019-09-11 17:26:30,193.26,M0366,C0803,remboursement,ES,D0004,10.0.149.125,loisir,17,0
T0000181,2024-12-30 08:48:57,40.8,M0208,C0053,dépôt,US,D0840,10.0.238.17,loisir,8,0
T0000182,2021-08-26 23:45:47,261.11,M0182,C0695,paiement,BR,D2412,10.0.59.94,voyage,23,1
T0000183,2021-02-28 07:07:09,34.7,M0100,C0087,paiement,NG,D0634,10.0.89.165,technologie,7,0
T0000184,2024-04-19 11:01:00,96.21,M0431,C0756,paiement,IT,D3630,10.0.253.250,commerce,11,0
T0000185,2020-01-15 17:06:00,26.12,M0097,C0394,dépôt,NG,D2217,10.0.209.199,restaurant,17,0
T0000186,2019-01-08 02:53:45,391.35,M0206,C0481,prélèvement,IT,D2800,10.0.214.96,loisir,2,0
T0000187,2017-05-15 00:43:40,71.74,M0113,C0963,paiement,NG,D2936,10.0.29.93,banque,0,1
T0000188,2019-12-16 14:35:37,23.94,M0148,C0023,virement,JP,D3182,10.0.187.246,loisir,14,0
T0000189,2023-10-07 23:24:15,51.33,M0115,C0518,dépôt,IT,D0012,10.0.31.4,technologie,23,0
T0000190,2020-12-25 09:21:36,37.48,M0278,C0212,retrait,FR,D0501,10.0.194.128,restaurant,9,0
T0000191,2018-06-20 13:51:53,267.84,M0448,C0196,virement,FR,D0423,10.0.105.24,technologie,13,0
T0000192,2023-02-18 14:44:30,825.74,M0348,C0470,retrait,DE,D3633,10.0.66.66,santé,14,0
T0000193,2018-03-11 01:52:57,23.19,M0314,C0303,retrait,CN,D3893,10.0.131.133,santé,1,0
T0000194,2019-06-03 08:32:07,69.26,M0347,C0529,retrait,CN,D1483,10.0.57.28,restaurant,8,0
T0000195,2022-05-11 00:56:10,5.45,M0274,C0145,dépôt,FR,D0560,10.0.125.67,santé,0,0
T0000196,2021-08-06 17:18:11,334.24,M0012,C0903,dépôt,IT,D3568,10.0.136.38,commerce,17,0
T0000197,2021-11-25 06:20:02,59.22,M0400,C0402,remboursement,UA,D2057,10.0.2.61,santé,6,0
T0000198,2020-03-23 11:00:30,28.55,M0320,C0737,prélèvement,CN,D0421,10.0.66.61,technologie,11,0
T0000199,2017-09-18 14:24:59,73.17,M0034,C0386,virement,ES,D3201,10.0.238.6,banque,14,0
T0000200,2021-02-02 02:33:03,174.42,M0025,C0231,retrait,ES,D1102,10.0.30.138,technologie,2,1
T0000201,2021-10-16 13:39:11,63.09,M0058,C0701,dépôt,DE,D0369,10.0.177.10,voyage,13,0
T0000202,2023-11-17 16:13:53,168.79,M0206,C0588,dépôt,CN,D0049,10.0.87.113,voyage,16,0
T0000203,2022-12-21 06:40:25,1870.2,M0409,C0074,prélèvement,DE,D2827,10.0.32.24,santé,6,0
T0000204,2019-09-18 23:43:21,62.65,M0438,C0011,virement,CN,D3117,10.0.215.248,santé,23,1
T0000205,2020-12-24 12:42:56,164.76,M0030,C0327,remboursement,US,D1728,10.0.100.146,technologie,12,0
T0000206,2024-04-02 09:27:38,83.26,M0043,C0504,prélèvement,RU,D0271,10.0.48.157,restaurant,9,0
T0000207,2018-12-25 07:08:36,287.53,M0269,C0886,dépôt,UA,D2649,10.0.87.247,commerce,7,0
T0000208,2022-09-21 13:37:42,94.53,M0276,C0365,prélèvement,JP,D0461,10.0.141.74,mode,13,0
T0000209,2017-08-26 10:19:26,58.59,M0096,C0091,prélèvement,RU,D3695,10.0.38.197,mode,10,0
T0000210,2024-06-05 12:58:58,444.02,M0249,C0656,paiement,US,D2046,10.0.190.68,technologie,12,0
T0000211,2023-09-13 08:49:49,73.61,M0011,C0225,remboursement,ES,D2229,10.0.36.253,restaurant,8,0
T0000212,2019-09-22 20:24:15,93.43,M0255,C0205,dépôt,US,D1955,10.0.57.117,santé,20,0
T0000213,2021-02-19 20:57:10,122.76,M0262,C0236,dépôt,CN,D3347,10.0.100.16,voyage,20,0
T0000214,2024-10-17 07:27:48,48.02,M0303,C0075,virement,UK,D0533,10.0.165.249,voyage,7,0
T0000215,2018-02-27 04:30:45,80.71,M0465,C0150,remboursement,DE,D3100,10.0.34.8,restaurant,4,0
T0000216,2021-11-13 17:38:19,443.43,M0205,C0675,paiement,CN,D2481,10.0.50.198,restaurant,17,0
T0000217,2022-03-22 16:08:23,181.19,M0314,C0698,retrait,ES,D3039,10.0.253.132,santé,16,0
T0000218,2018-03-02 07:48:03,83.3,M0261,C0223,prélèvement,RU,D3040,10.0.58.253,restaurant,7,0
T0000219,2018-11-25 18:24:22,38.39,M0498,C0337,remboursement,US,D2029,10.0.133.149,mode,18,0
T0000220,2017-06-30 03:18:43,80.42,M0105,C0266,remboursement,IT,D1778,10.0.226.39,banque,3,0
T0000221,2019-01-01 23:53:01,244.83,M0312,C0106,paiement,ES,D1467,10.0.236.188,technologie,23,0
T0000222,2023-12-16 17:18:45,36.23,M0029,C0661,prélèvement,ES,D1479,10.0.126.85,restaurant,17,0
T0000223,2024-10-26 08:12:14,146.13,M0040,C0160,remboursement,FR,D1912,10.0.176.107,mode,8,0
T0000224,2024-08-31 13:35:31,1243.09,M0005,C0435,remboursement,UA,D0393,10.0.122.136,santé,13,0
T0000225,2024-06-11 18:06:39,107.96,M0070,C0306,remboursement,NG,D0079,10.0.142.189,santé,18,0
T0000226,2024-04-25 23:17:02,105.71,M0330,C0202,dépôt,FR,D3622,10.0.164.182,restaurant,23,0
T0000227,2017-10-20 10:55:39,12.91,M0111,C0530,retrait,UK,D0330,10.0.132.240,loisir,10,0
T0000228,2023-07-09 02:14:54,263.13,M0256,C0566,remboursement,IT,D0060,10.0.3.85,technologie,2,0
T0000229,2019-09-26 15:37:55,76.41,M0164,C0218,remboursement,CN,D1034,10.0.90.207,restaurant,15,0
T0000230,2021-03-26 03:33:04,56.33,M0412,C0765,remboursement,CN,D1594,10.0.106.109,restaurant,3,0
T0000231,2018-02-26 14:16:36,40.75,M0164,C0910,dépôt,IT,D2834,10.0.46.113,mode,14,0
T0000232,2022-07-17 04:54:58,206.18,M0185,C0884,prélèvement,NG,D1913,10.0.192.61,mode,4,1
T0000233,2018-09-23 04:43:45,64.19,M0196,C0303,retrait,FR,D2119,10.0.245.92,commerce,4,0
T0000234,2023-09-09 11:34:33,29.3,M0198,C0599,retrait,UA,D2212,10.0.113.108,banque,11,1
T0000235,2017-03-15 02:36:27,12.67,M0122,C0620,virement,RU,D2874,10.0.31.200,technologie,2,1
T0000236,2019-08-19 14:00:49,18.13,M0424,C0543,paiement,BR,D2206,10.0.181.116,technologie,14,0
T0000237,2019-04-09 12:44:08,61.53,M0150,C0643,prélèvement,UA,D3291,10.0.201.128,technologie,12,0
T0000238,2019-04-22 10:52:16,448.55,M0113,C0334,prélèvement,ES,D2691,10.0.126.0,voyage,10,0
T0000239,2019-05-26 00:06:44,158.96,M0339,C0881,prélèvement,BR,D0017,10.0.27.165,santé,0,0
T0000240,2023-08-03 08:32:08,17.21,M0477,C0179,retrait,CN,D1472,10.0.81.163,mode,8,0
T0000241,2017-09-01 11:28:04,38.83,M0329,C0776,retrait,IT,D2264,10.0.166.85,voyage,11,0
T0000242,2023-07-02 06:03:01,72.14,M0422,C0123,virement,US,D1869,10.0.107.54,banque,6,0
